round_number,rank,team_name,rounds_played,rounds_won,rounds_drawn,rounds_lost,matches_played,matches_won,matches_lost,matches_won_percent,points
10,8,Team 006,10,6,0,4,160,84,76,52.5,12
10,9,Team 003,10,5,1,4,160,89,71,55.63,11
10,10,Team 005,10,4,2,4,160,89,71,55.63,10
10,11,Team 015,10,2,2,6,160,75,85,46.88,6
10,12,Team 010,10,3,0,7,160,64,96,40.0,6
10,13,Team 009,10,2,0,8,160,62,98,38.75,4
10,14,Team 002,10,1,0,9,160,45,115,28.13,2
10,15,Team 013,10,0,0,10,160,34,126,21.25,0
10,16,Team 016,10,0,0,10,160,17,143,10.63,0
11,1,Team 001,11,11,0,0,176,150,26,85.23,22
11,2,Team 012,11,8,1,2,176,107,69,60.8,17
11,3,Team 014,11,7,3,1,176,108,68,61.37,17
11,4,Team 011,11,7,2,2,176,104,72,59.1,16
11,5,Team 008,11,7,2,2,176,101,75,57.39,16
11,6,Team 004,11,7,0,4,176,110,66,62.5,14
11,7,Team 007,11,7,0,4,176,97,79,55.12,14
11,8,Team 006,11,7,0,4,176,93,83,52.85,14
11,9,Team 003,11,6,1,4,176,100,76,56.82,13
11,10,Team 005,11,4,2,5,176,94,82,53.41,10
11,11,Team 015,11,3,2,6,176,86,90,48.87,8
11,12,Team 010,11,3,1,7,176,72,104,40.91,7
11,13,Team 009,11,2,0,9,176,67,109,38.07,4
11,14,Team 002,11,1,0,10,176,52,124,29.55,2
11,15,Team 013,11,1,0,10,176,43,133,24.44,2
11,16,Team 016,11,0,0,11,176,24,152,13.64,0
12,1,Team 001,12,12,0,0,192,160,32,83.34,24
12,2,Team 011,12,8,2,2,192,117,75,60.94,18
12,3,Team 014,12,7,4,1,192,116,76,60.42,18
12,4,Team 012,12,8,1,3,192,114,78,59.38,17
12,5,Team 008,12,7,3,2,192,109,83,56.78,17
12,6,Team 007,12,8,0,4,192,106,86,55.21,16
12,7,Team 003,12,7,1,4,192,115,77,59.9,15
12,8,Team 004,12,7,0,5,192,116,76,60.42,14
12,9,Team 006,12,7,0,5,192,96,96,50.0,14
12,10,Team 005,12,5,2,5,192,106,86,55.21,12
12,11,Team 015,12,4,2,6,192,100,92,52.09,10
12,12,Team 010,12,3,1,8,192,74,118,38.55,7
12,13,Team 009,12,3,0,9,192,81,111,42.19,6
12,14,Team 002,12,1,0,11,192,54,138,28.13,2
12,15,Team 013,12,1,0,11,192,44,148,22.92,2
12,16,Team 016,12,0,0,12,192,28,164,14.59,0
13,1,Team 001,13,13,0,0,208,174,34,83.66,26
13,2,Team 011,13,8,3,2,208,125,83,60.1,19
13,3,Team 012,13,9,1,3,208,124,84,59.62,19
13,4,Team 008,13,8,3,2,208,123,85,59.14,19
13,5,Team 014,13,7,4,2,208,118,90,56.74,18
13,6,Team 003,13,8,1,4,208,127,81,61.06,17
13,7,Team 007,13,8,0,5,208,113,95,54.33,16
13,8,Team 006,13,8,0,5,208,105,103,50.49,16
13,9,Team 004,13,7,0,6,208,122,86,58.66,14
13,10,Team 005,13,5,3,5,208,114,94,54.81,13
13,11,Team 015,13,4,3,6,208,108,100,51.93,11
13,12,Team 010,13,3,1,9,208,76,132,36.54,7
13,13,Team 009,13,3,0,10,208,85,123,40.87,6
13,14,Team 002,13,1,1,11,208,62,146,29.81,3
13,15,Team 016,13,1,0,12,208,44,164,21.16,2
13,16,Team 013,13,1,0,12,208,44,164,21.16,2
14,1,Team 001,14,14,0,0,224,186,38,83.04,28
14,2,Team 011,14,9,3,2,224,137,87,61.17,21
14,3,Team 008,14,9,3,2,224,135,89,60.27,21
14,4,Team 012,14,9,2,3,224,132,92,58.93,20
14,5,Team 003,14,9,1,4,224,140,84,62.5,19
14,6,Team 014,14,7,5,2,224,126,98,56.25,19
14,7,Team 007,14,9,0,5,224,124,100,55.36,18
14,8,Team 004,14,8,0,6,224,131,93,58.49,16
14,9,Team 006,14,8,0,6,224,112,112,50.0,16
14,10,Team 005,14,5,3,6,224,119,105,53.13,13
14,11,Team 015,14,4,3,7,224,112,112,50.0,11
14,12,Team 009,14,3,1,10,224,93,131,41.52,7
14,13,Team 010,14,3,1,10,224,80,144,35.72,7
14,14,Team 016,14,1,1,12,224,52,172,23.22,3
14,15,Team 002,14,1,1,12,224,65,159,29.02,3
14,16,Team 013,14,1,0,13,224,48,176,21.43,2
15,1,Team 001,15,15,0,0,240,202,38,84.17,30
15,2,Team 011,15,10,3,2,240,149,91,62.09,23
15,3,Team 012,15,10,2,3,240,142,98,59.17,22
15,4,Team 008,15,9,3,3,240,135,105,56.25,21
15,5,Team 003,15,10,1,4,240,151,89,62.92,21
15,6,Team 014,15,7,5,3,240,130,110,54.17,19
15,7,Team 004,15,9,0,6,240,142,98,59.17,18
15,8,Team 007,15,9,0,6,240,129,111,53.75,18
15,9,Team 006,15,9,0,6,240,124,116,51.67,18
15,10,Team 005,15,5,3,7,240,124,116,51.67,13
15,11,Team 015,15,4,3,8,240,117,123,48.75,11
15,12,Team 009,15,3,1,11,240,97,143,40.42,7
15,13,Team 010,15,3,1,11,240,86,154,35.84,7
15,14,Team 016,15,1,2,12,240,60,180,25.0,4
15,15,Team 002,15,1,2,12,240,73,167,30.42,4
15,16,Team 013,15,2,0,13,240,59,181,24.59,4
16,1,Team 001,16,16,0,0,256,215,41,83.99,32
16,2,Team 011,16,11,3,2,256,163,93,63.68,25
16,3,Team 012,16,11,2,3,256,154,102,60.16,24
16,4,Team 003,16,11,1,4,256,167,89,65.24,23
16,5,Team 008,16,9,3,4,256,139,117,54.3,21
16,6,Team 014,16,8,5,3,256,142,114,55.47,21
16,7,Team 004,16,10,0,6,256,154,102,60.16,20
16,8,Team 006,16,10,0,6,256,135,121,52.74,20
16,9,Team 007,16,9,0,7,256,136,120,53.13,18
16,10,Team 005,16,5,3,8,256,128,128,50.0,13
