index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
2047,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
2048,MINIMÁL-FOOD Kft.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,1-3 years,"Pest_county,_Budapest",Pultos/Kiszolgáló,start_prem,534545.0,1326.4143920595534,none,none
2049,MVM Next Energiakereskedelmi Zrt.,karrierlink,"Finance, Accounting","Analyst, Advisor",full time,5-10 years,"Pest_county,_Budapest",vezető árazási szakértő,optimum,,,none,none
2050,Magyar Posta Zrt.,ats,Business Supporting Centres,Project Management,full time,starter,"Pest_county,_Budapest",Működésfejlesztési menedzser,optimum,,,none,none
2051,McDonald’s,ats,"Finance, Accounting",Accounting,full time,3-5 years,"Pest_county,_Budapest",Szenior Könyvelő,optimum,,,english,basic
2052,ACCOR-PANNONIA HOTELS ZRT.,karrierlink,"Catering, Hotel, Tourism",Hotel Industry,full time,1-3 years,"Pest_county,_Budapest",Front office supervisor,optimum,,,english,intermediate
2053,Budapesti Corvinus Egyetem,karrierlink,"HR, Human Relations","Recruitment, Selection",full time,starter,"Pest_county,_Budapest",HR Intern - Diákmunka,optimum,,,english,intermediate
2054,Gold Standard Diagnostics Budapest Kft,website,"Client Services, Customer Services",Customer Services,full time,3-5 years,"Pest_county,_Budapest","Order management specialist/Vevőszolgálati, rendelés-menedzsment szakember",optimum,,,english,higheradvanced
2055,MAVIR Zrt.,ats,Engineer,Electrical Engineer,full time,starter,Pest_county,Rendszerirányító mérnök,normal,,,none,none
2056,MAVIR Zrt.,ats,Engineer,Electrical Engineer,full time,starter,Pest_county,Hálózatkezelő mérnök,normal,,,none,none
2057,Fémalk Zrt.,ats,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,1-3 years,"Pest_county,_Budapest",Fémipari betanított munkatárs,optimum,,,none,none
2058,OnE Job Iskolaszövetkezet,website,"IT Operation, Telecommunication",IT Administrator,full time,1-3 years,"Pest_county,_Budapest",Microsoft rendszergazda - junior rendszergazda (diákmunka),normal,369600.0,917.12158808933,english,intermediate
