index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
0,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
1,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
2,MAXABO KFT.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,3-5 years,"Pest_county,_Budapest",Autószerelő BMW márkaszervizbe,start_prem,946969.0,2349.7990074441686,english,basic
3,MAXABO KFT.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,3-5 years,"Pest_county,_Budapest",Autóalkatrész raktáros,start_prem,606060.0,1503.8709677419354,none,none
4,Opel Maxabo / Maxabo Kft.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,not required,"Pest_county,_Budapest",Recepciós munkatárs,optimum,,,english,intermediate
5,H-Drive Europa Kft.,website,"Sales, Trade",Regional Sales Representative,full time,not required,"Pest_county,_Budapest",Területi képviselő/értékesítő,optimum,,,none,none
6,H & M Hennes & Mauritz Kft.,karrierlink,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Eladó 40 óra (Váci 1. Budapest),pro_plus,,,none,none
7,Díjbeszedő Holding Zrt.,website,"Finance, Accounting",Accounting Expert,full time,3-5 years,"Pest_county,_Budapest",Számviteli szakértő,pro_plus,,,none,none
8,MFB Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,karrierlink,"Marketing,  Media, PR",Marketing,full time,1-3 years,"Pest_county,_Budapest",Marketing menedzser,pro_plus,,,english,intermediate
9,Kőházy-Tradíció KFT.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Raktáros-áruszállító,start_prem,621212.0,1541.4689826302729,none,none
10,BKK Zrt.,karrierlink,Engineer,Architect,full time,1-3 years,Pest_county,Senior Infrastruktúrafejlesztő Munkatárs,optimum,,,none,none
11,Erinum Capital Zrt.,website,"Law, Legal Advisory","Law Clerk, Legal Assistant",full time,3-5 years,"Pest_county,_Budapest",Jogi asszisztens / Követeléskezelő,optimum,,,none,none
12,IT-Wan Kft.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,not required,Pest_county,"Futár (Budapest, Dunakeszi, Vecsés)",start_prem,771212.0,1913.6774193548388,none,none
13,Decor Floor Kft.,website,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Sales support,pro_plus,568181.0,1409.87841191067,english,intermediate
14,Supernova Intertrans Kft.,website,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,1-3 years,"Pest_county,_Budapest",Freight forwarding specialist,optimum,1000000.0,2481.3895781637716,english,intermediate
15,Magyar Éremkibocsátó Kft.,website,"Finance, Accounting",Financial Assistant,full time,not required,"Pest_county,_Budapest",Pénzügyi asszisztens,optimum,,,english,basic
16,Magyar Éremkibocsátó Kft.,website,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Könyvelő,optimum,,,english,intermediate
17,Multi Alarm Zrt.,website,Skilled Labour,Personal and property protection,full time,1-3 years,Pest_county,Kivonuló járőr,optimum,,,none,none
18,UNIX AUTÓ KFT.,karrierlink,"Sales, Trade","Merchant, Shop Assistant",full time,1-3 years,"Pest_county,_Budapest",Alkatrész Kiszállító (Budapest X. kerület),optimum,,,none,none
19,Accord Group Polska Sp. zo.o.,website,"Administration, Assistance, Office Work",Head of Administration,full time,5-10 years,"Pest_county,_Budapest",Leader of Accountancy & Administration,optimum_complex,,,english,higheradvanced
20,KRÁLL-TECH Kft,website,Skilled Labour,Plumbing-gas-heating,full time,1-3 years,"Pest_county,_Budapest",Épületgépészeti szerelő,start_prem,909090.0,2255.8064516129034,none,none
21,Református Szeretetszolgálat,website,Skilled Labour,"Nurse, Health Worker",full time,not required,"Pest_county,_Budapest",Ápoló / Szakápoló,optimum,,,none,none
22,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
23,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
24,Református Szeretetszolgálat,website,"Finance, Accounting",Financial Assistant,full time,not required,"Pest_county,_Budapest",Gazdasági ügyintéző,optimum,,,none,none
25,Keskeny és Társai 2001 Kft.,ats,"Transportation, Procurement, Logistics","Storage, Stockpiling",full time,5-10 years,"Pest_county,_Budapest",Raktárvezető,optimum,,,english,intermediate
26,ELEKTRO PROFI Vállalkozási Kft.,website,Engineer,Electrical Engineer,full time,1-3 years,"Pest_county,_Budapest",Projektmérnök,pro_plus,,,english,intermediate
27,STX HORSEBOXES Kft.,website,Skilled Labour,Other Skilled Work,full time,3-5 years,"Pest_county,_Budapest",Kárpitos (Budapest),start_prem,,,none,none
28,STX HORSEBOXES Kft.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,3-5 years,"Pest_county,_Budapest",Autóvillamossági szerelő (Budapest),start_prem,,,none,none
29,Roche Szolgáltató (Európa) Kft.,karrierlink,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Senior Financial Accountant (2 year Fixed term),optimum,,,english,higheradvanced
30,WHB ELEKTRO Kft.,website,"Finance, Accounting",Controlling,full time,1-3 years,"Pest_county,_Budapest",Pénzügyi asszisztens,optimum,,,none,none
31,FrieslandCampina Service Centre EMEA Korlátolt Felelősségű Társaság,karrierlink,"HR, Human Relations","HR Manager, Head of HR",full time,1-3 years,Pest_county,"People Services Officer - Dutch speaker, Tier 1",optimum,,,english,higheradvanced
32,ELEKTRO PROFI Vállalkozási Kft.,website,Skilled Labour,Electrician,full time,1-3 years,"Pest_county,_Budapest",Szervizes villanyszerelő,start_prem,,,none,none
33,FrieslandCampina Service Centre EMEA,karrierlink,"Finance, Accounting",Project Management,full time,3-5 years,Pest_county,Senior Tax Accountant (GBS),optimum,,,english,higheradvanced
34,CBRE Global Workplace Solutions Kft.,website,"Administration, Assistance, Office Work",Head of Office Administration,full time,3-5 years,"Pest_county,_Budapest",Workplace Services Specialist,optimum,,,english,intermediate
36,FISH9000 Bt.,website,"Finance, Accounting",Financial Assistant,full time,1-3 years,"Pest_county,_Budapest",Pénzügyi ügyintéző,pro_plus,,,none,none
37,Kempinski Hotel Budapest Zrt.,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,1-3 years,"Pest_county,_Budapest",Mosodai munkatárs,start_prem,,,none,none
38,RONDO Hullámkartongyártó Kft.,website,"Finance, Accounting",Controlling,full time,1-3 years,"Pest_county,_Budapest",Kontroller,optimum,,,english,intermediate
39,Culligan Hungary Kft.,website,Skilled Labour,Machine Repairer,full time,1-3 years,"Pest_county,_Budapest",Belső szerviztechnikus - Budapest,start_prem,540000.0,1339.9503722084366,none,none
40,PURATOS Zrt.,website,"Sales, Trade",Key Account Manager,full time,5-10 years,"Pest_county,_Budapest",National Key Account Manager,optimum,,,english,higheradvanced
41,UNIX AUTÓ KFT.,karrierlink,"Marketing,  Media, PR","Graphic Designer, Photo Editor",full time,3-5 years,Budapest,Grafikus,optimum,,,none,none
42,TRENDENCY ONLINE Zrt.,website,IT Development,"Programmer, Developer",full time,5-10 years,"Pest_county,_Budapest",Natív iOS fejlesztő,optimum,,,none,none
43,UNIX AUTÓ KFT.,karrierlink,"Marketing,  Media, PR","Editor, Copywriter",full time,3-5 years,Budapest,Kreatív szövegíró és tartalommenedzser,optimum,,,english,intermediate
44,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
45,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
46,MAPEI KFT.,website,"Manufacturing, Production","Product Development, Design",full time,1-3 years,Pest_county,Betontechnológus,optimum,,,none,none
47,HMEI Zrt.,karrierlink,Engineer,Electrical Engineer,full time,1-3 years,Pest_county,Villamosmérnök,optimum,,,english,intermediate
49,Epta International Kft.,website,Business Supporting Centres,"Client Support, Administration",full time,starter,"Pest_county,_Budapest",French Speaking Sales & Project Support Specialist,pro_plus,,,english,intermediate
50,QPR Properties Kft.,website,"HR, Human Relations",HR Administration,full time,not required,"Pest_county,_Budapest",HR & Training Gyakornok,optimum,,,english,intermediate
51,QPR Properties Kft.,website,Skilled Labour,Cook,full time,1-3 years,"Pest_county,_Budapest",Szakács,start_prem,,,english,intermediate
52,Feelgood Kft.,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,not required,Pest_county,Segédmunkás,start_prem,,,none,none
53,INNO-SWEETS Zrt.,website,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,1-3 years,"Pest_county,_Budapest",Logisztikai munkatárs,optimum,,,none,none
54,Celebi Ground Handling Hungary Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,not required,Pest_county,Cargo raktáros / anyagmozgató,start_prem,,,none,none
55,H1 Systems Mérnöki Szolgáltatások Kft.,ats,"Building Industry, Real Estate",Project Management,full time,1-3 years,Pest_county,Biztonságtechnikai projektvezető,optimum,,,none,none
56,H1 Systems Mérnöki Szolgáltatások Kft.,ats,Skilled Labour,"Storekeeper, Other depository skilled work",full time,1-3 years,Pest_county,Raktáros – Anyaggazdálkodó,start_prem,,,none,none
57,Lexholding ZRt.,ats,"Finance, Accounting",Controlling,full time,1-3 years,"Pest_county,_Budapest",Szenior Kontroller_Lexholding ZRt.,optimum,,,none,none
58,ELMŰ Hálózati Kft.,karrierlink,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,starter,"Pest_county,_Budapest",Létesítési segédmunkás (Dél-Pest),optimum,,,none,none
59,Menton Jobs,ats,"Building Industry, Real Estate",Building Maintanance,full time,3-5 years,Pest_county,Elektromos karbantartó - Budapest,optimum,,,none,none
60,Menton Jobs,ats,Skilled Labour,Maintenance Worker,full time,3-5 years,Pest_county,Karbantartó lakatos - Budapest,optimum,,,none,none
61,ASUS Magyarország Kft.,website,"Sales, Trade",Key Account Manager,full time,1-3 years,"Pest_county,_Budapest",Account manager,optimum,,,english,intermediate
62,GV Hitelközpont Kft.,website,"Administration, Assistance, Office Work",Professional Assistant,full time,1-3 years,"Pest_county,_Budapest",Dedikált szakmai asszisztens,optimum,681818.0,1691.8560794044665,none,none
63,Richter Gedeon Nyrt.,karrierlink,"Healthcare, Pharmaceutical Industry",Clinical Researcher,full time,1-3 years,"Pest_county,_Budapest",Kutató-fejlesztő analitikus (HPLC),optimum,,,english,intermediate
64,Celebi Ground Handling Hungary Kft.,website,"Transportation, Procurement, Logistics","Transportation, Logistics Manager",full time,1-3 years,"Pest_county,_Budapest",Műszakvezető,optimum,,,english,basic
65,MOHU BUDAPEST Zrt.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,1-3 years,"Pest_county,_Budapest",Gépjárműszerelő,optimum,,,none,none
66,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
67,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
68,Polifoam Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Raktári anyagmozgató,optimum,,,none,none
69,BDPST Koncept Kft.,website,"Marketing,  Media, PR",Online Marketing,full time,3-5 years,"Pest_county,_Budapest",Social Media & Content Manager,optimum,,,english,intermediate
70,Flextronics International Kft.,karrierlink,IT Development,Project Management,full time,1-3 years,Országos,Business Excellence Manager,optimum,,,english,higheradvanced
71,CER Kft.,website,Skilled Labour,Cook,full time,1-3 years,"Pest_county,_Budapest",Á la carte szakács - New York Kávéház,start_prem,813636.0,2018.9478908188585,none,none
72,Mercarius Flottakezelő Kft.,website,"Bank, Insurance, Brokering","Bank, Insurance Agent",full time,1-3 years,"Pest_county,_Budapest",Karosszéria munkafelvevő/ Kárszakértő,optimum,,,none,none
73,RSM Hungary Könyvvizsgáló Zrt.,website,"Finance, Accounting","Auditor, Internal Auditor",full time,1-3 years,"Pest_county,_Budapest",Audit asszisztens,optimum,,,english,intermediate
74,WRISTFIELD EUROPE Kft.,website,"Client Services, Customer Services","Client Services, Client Services Manager",full time,1-3 years,"Pest_county,_Budapest",Ügyfélszolgálati munkatárs (német nyelvű),optimum,,,german,higheradvanced
75,ABY Property Investment Kft.,website,"Sales, Trade",Real Estate Agent,full time,1-3 years,"Pest_county,_Budapest",Ingatlanértékesítő,optimum,,,english,basic
76,B+N Referencia Zrt.,ats,"Manufacturing, Production","Health and Safety Management, Security Management",full time,starter,Pest_county,Tűzvédelmi koordinátor (XIII. kerület),optimum,,,none,none
77,thyssenkrupp Components Technology Hungary Kft.,karrierlink,IT Development,"Programmer, Developer",full time,starter,Pest_county,Hybrid Cloud Engineer,optimum,,,english,higheradvanced
79,MVM Services Zrt.,karrierlink,"Transportation, Procurement, Logistics","Economization, Procurement",full time,1-3 years,"Pest_county,_Budapest",Junior stratégiai beszerző,optimum,,,none,none
80,Lexholding ZRt.,ats,"Marketing,  Media, PR",Online Marketing,full time,1-3 years,"Pest_county,_Budapest",Online marketing menedzser,optimum,,,english,intermediate
81,WRISTFIELD EUROPE Kft.,website,"Marketing,  Media, PR","Graphic Designer, Photo Editor",full time,starter,"Pest_county,_Budapest",Alkalmazott grafikus - nyomtató koordinátor,optimum,,,none,none
82,Indotek Group,karrierlink,"Manufacturing, Production",Technical Expert,full time,1-3 years,Pest_county,Back office munkatárs,optimum,,,none,none
83,GoodWill Consulting Kft.,website,"HR, Human Relations",HR Administration,full time,1-3 years,"Pest_county,_Budapest",HR és operatív munkatárs,optimum,,,none,none
84,Groupama Biztosító Zrt.,website,"Marketing,  Media, PR",Brand and Product Manager,full time,not required,Pest_county,Termékmenedzser (lakossági személybiztosítás),optimum,,,none,none
85,DPD Hungary Kft.,karrierlink,"Law, Legal Advisory","Solicitor, Legal Advisor, Legal Counsellor",full time,5-10 years,"Pest_county,_Budapest",Jogász,pro_plus,,,english,higheradvanced
87,TESCO-BST,karrierlink,Business Supporting Centres,Project Management,full time,not required,"Pest_county,_Budapest",Internship Program - Continuous Improvement,optimum,,,english,higheradvanced
88,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
89,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
90,Prohuman Zrt.,website,"Administration, Assistance, Office Work",Data Analyst,full time,1-3 years,Országos,Call center és back office munkatárs – angol nyelvtudással,optimum,,,none,none
91,PROTECTA Kft,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,1-3 years,"Pest_county,_Budapest",Forrasztó operátor,optimum,,,none,none
92,Studio Belvedere Kft.,website,"Sales, Trade",Real Estate Agent,full time,not required,"Pest_county,_Budapest",Ingatlan értékesítő,pro_plus,,,none,none
93,PREMIER G. MED CARDIO Kft,website,"Transportation, Procurement, Logistics","Economization, Procurement",full time,not required,"Pest_county,_Budapest",Beszerző munkatárs,optimum,,,english,intermediate
94,Budapesti Metropolitan Egyetem,website,"IT Operation, Telecommunication","System operator, Maintenance Staff",full time,1-3 years,"Pest_county,_Budapest",Tanulmányi rendszerüzemeltetési adminisztrátor,optimum,,,english,basic
95,DUNAMENTI VK Zrt.,website,"Sales, Trade",Sales and Trade Manager,full time,3-5 years,Országos,Értékesítő menedzser,optimum,,,english,intermediate
96,Tiger Stores Hungary Zrt.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Üzletvezető,optimum,,,english,intermediate
98,KÁROLYI-KERT Kft.,website,Skilled Labour,Machine Repairer,full time,not required,"Pest_county,_Budapest",Uszodatechnikai szerelő,start_prem,757575.0,1879.8387096774193,none,none
99,Padthaiwokbar Kft.,ats,Skilled Labour,Cook,full time,1-3 years,Pest_county,Raktáros,optimum,,,none,none
100,Magyar Közút Nonprofit Zrt.,karrierlink,"Manual Work, Unskilled Work, Trained Work",Other Manual Work,full time,1-3 years,"Pest_county,_Tárnok",útüzemeltető szakmunkás,optimum,,,none,none
101,Színház- és Filmművészeti Egyetem,website,Skilled Labour,Other Skilled Work,full time,3-5 years,Pest_county,Fővilágosító,optimum,,,none,none
103,NEMZETI KÖZSZOLGÁLATI EGYETEM,website,"Manufacturing, Production","Health and Safety Management, Security Management",full time,3-5 years,"Pest_county,_Budapest",Tűz-és munkavédelmi referens,optimum,,,none,none
104,DHL Supply Chain Mo. Kft.,karrierlink,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,"Pest_county,_Budapest",Payroll Specialist,optimum,,,english,higheradvanced
105,Tech People Hungary Kft.,karrierlink,Business Supporting Centres,IT Support,full time,1-3 years,"Pest_county,_Budapest",Italian/German speaking service desk analyst level 1,optimum,,,english,intermediate
106,KVV Zrt.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,not required,Országos,Tehergépjármű vezető,optimum,,,none,none
108,Bethlen Gábor Alapkezelő Zrt.,website,"Law, Legal Advisory","Solicitor, Legal Advisor, Legal Counsellor",full time,1-3 years,"Pest_county,_Budapest",Jogtanácsos,optimum,,,none,none
109,XELLIA Gyógyszervegyészeti Kft.,karrierlink,"Transportation, Procurement, Logistics",Project Management,full time,5-10 years,"Pest_county,_Budapest",Global Procurement Project Manager,optimum,,,english,higheradvanced
110,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
111,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
112,XELLIA Gyógyszervegyészeti Kft.,karrierlink,"IT Operation, Telecommunication","IT Support, Helpdesk",full time,5-10 years,"Pest_county,_Budapest",OT Infrastructure Specialist,optimum,,,english,higheradvanced
113,Fővárosi Vízművek Zrt.,karrierlink,Skilled Labour,Maintenance Worker,full time,1-3 years,"Pest_county,_Budapest",Gépészeti karbantartó,start_prem,,,none,none
114,XELLIA Gyógyszervegyészeti Kft.,karrierlink,"Healthcare, Pharmaceutical Industry",Clinical Researcher,full time,not required,"Pest_county,_Budapest",Research Engineer in Fermentation,optimum,,,none,none
115,Tech People Hungary Kft.,karrierlink,"Manufacturing, Production","Product Development, Design",full time,5-10 years,"Pest_county,_Budapest","Senior backend engineer, NODE.JS (E-SG6)",optimum,,,english,higheradvanced
116,café+co Kft.,website,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Pest_county,Területi képviselő,optimum,,,none,none
117,Prohuman Zrt.,website,"Client Services, Customer Services",Call Center Services,full time,not required,Pest_county,Német nyelvű ügyfélszolgálati munkatárs,optimum,,,none,none
118,Prohuman Zrt.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,Pest_county,Gépjárműflotta asszisztens,optimum,,,none,none
119,HAJNAL R+S Kft.,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,1-3 years,"Pest_county,_Budapest",Reklámtábla gyártó - szerelő munkatárs,optimum,,,none,none
120,Egységes Magyarországi Izraelita,website,"Marketing,  Media, PR","Graphic Designer, Photo Editor",full time,5-10 years,"Pest_county,_Budapest",UX/UI designer,optimum,,,english,intermediate
121,DHL Supply Chain Mo. Kft.,karrierlink,"HR, Human Relations","HR Manager, Head of HR",full time,10+ years,"Pest_county,_Budapest",Head of Global BPO & HRS Standards,optimum,,,english,higheradvanced
122,SANNER HUNGARIA Kft,website,Skilled Labour,Machine Operator,full time,1-3 years,"Pest_county,_Budapest",Gépbeállító,start_prem,,,none,none
123,Vision Recruitment Kft.,website,"Healthcare, Pharmaceutical Industry",Healthcare Assistant,full time,starter,Pest_county,Pharma Regulatory Assistant,optimum,,,english,intermediate
124,GépDepo.hu Kft.,website,Skilled Labour,Automotive Service Advisor,full time,1-3 years,"Pest_county,_Budapest",Szerviz ügyintéző - munkafelvevő,start_prem,,,none,none
125,Viapan Group,ats,"Transportation, Procurement, Logistics",Customs Clearance Clerk,full time,1-3 years,"Pest_county,_Budapest",Vállalati hitelügyintéző,optimum,,,none,none
126,Fővárosi Vízművek Zrt.,karrierlink,Skilled Labour,Electrician,full time,3-5 years,"Pest_county,_Budapest",Elektromos karbantartó,start_prem,,,none,none
128,JUSTICE Security Kft,website,"HR, Human Relations","HR Generalist, Specialist",full time,5-10 years,"Pest_county,_Budapest",HR generalista,optimum,,,english,basic
130,Menzies Aviation (Hungary) Kft.,website,"Manual Work, Unskilled Work, Trained Work",Other Manual Work,full time,1-3 years,"Pest_county,_Budapest","Előtéri kiszolgáló (rakodás, buszvezetés, gépkezelés) - Repülőtér",start_prem,,,none,none
132,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
133,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
134,TESCO-BST,karrierlink,Business Supporting Centres,Financial Support,full time,not required,"Pest_county,_Budapest",Internship Program - Finance,optimum,,,english,intermediate
135,Media Vivantis Zrt.,website,"Finance, Accounting",Accounting,full time,5-10 years,"Pest_county,_Budapest",Könyvelő,optimum,830000.0,2059.5533498759305,none,none
136,Danubius Hotels Zrt.,karrierlink,Skilled Labour,"Waiter, Waitress, Barista",full time,1-3 years,Pest_county,Felszolgáló,start_prem,,,english,intermediate
137,HILTI (HUNGÁRIA) Kft.,karrierlink,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Telefonos értékesítési ügyfélmenedzser (Inside Sales Account Manager),optimum,,,none,none
138,INVESTUM Kft.,website,"Catering, Hotel, Tourism",Hotel Industry,full time,3-5 years,"Pest_county,_Budapest",Szállodavezető,optimum_complex,,,english,higheradvanced
139,Klauzál Hotel Kft.,website,"Manufacturing, Production",Leader,full time,1-3 years,"Pest_county,_Budapest",Műszaki vezető,optimum,,,english,basic
141,Garantiqa Hitelgarancia Zrt.,website,IT Development,System Manager,full time,1-3 years,"Pest_county,_Budapest",Rendszerszervező,optimum,,,none,none
142,BASF Hungária Kft.,karrierlink,"Marketing,  Media, PR","Marketing, Media, PR Manager",full time,1-3 years,"Pest_county,_Budapest",Marketing Content Development Specialist,optimum,,,english,higheradvanced
143,Fővárosi Vízművek Zrt.,karrierlink,Skilled Labour,Other Skilled Work,full time,3-5 years,"Pest_county,_Budapest",Légtechnikai karbantartó,start_prem,,,none,none
144,Profession Services,website,"Finance, Accounting","Auditor, Internal Auditor",full time,3-5 years,Budapest,Senior Accounting Specialist,pro_plus,,,english,higheradvanced
145,MBH Bank Nyrt.,karrierlink,"Administration, Assistance, Office Work",Secretary,full time,1-3 years,Pest_county,Back office munkatárs - MBH Alapkezelő,optimum,,,none,none
146,MVM Ügyfélkapcsolati Kft.,karrierlink,"Client Services, Customer Services",Personal Costumer Service,full time,1-3 years,Pest_county,Medior ügyfélkapcsolati munkatárs - Budapest,optimum,,,none,none
147,BÁRDI AUTÓ ZRT.,karrierlink,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,"Pest_county,_Budapest",Pénzügyi ügyintéző(Budapest),optimum,,,none,none
148,Innova Product Kft.,website,"Sales, Trade","Engineer, Technical Sales Representative",full time,1-3 years,Pest_county,Műszaki értékesítő,optimum,,,english,basic
149,Raiffeisen Software GmbH Magyarországi Fióktelepe,website,"HR, Human Relations","Recruitment, Selection",full time,1-3 years,"Pest_county,_Budapest",Junior toborzó (IT sourcer),optimum,,,english,intermediate
150,FM Top Service Kft.,website,Skilled Labour,Electrician,full time,1-3 years,Pest_county,Villanyszerelő,start_prem,,,none,none
151,Fővárosi Vízművek Zrt.,karrierlink,Skilled Labour,Electrician,full time,1-3 years,"Pest_county,_Budapest",Villanyszerelő,start_prem,,,none,none
152,Unicam Magyarország Kft,website,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Könyvelő,optimum,,,english,intermediate
153,Fővárosi Vízművek Zrt.,karrierlink,Skilled Labour,Electrician,full time,3-5 years,"Pest_county,_Budapest",Erősáramú berendezés szerelő,start_prem,,,none,none
154,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
155,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
156,HEGEDŰS Kft.,website,"Sales, Trade","Merchant, Shop Assistant",full time,1-3 years,"Pest_county,_Budapest",Értékesítési munkatárs,optimum,,,none,none
158,TESCO-BST,karrierlink,Business Supporting Centres,IT Support,full time,not required,"Pest_county,_Budapest",Internship Program - CCEC Maintenance (Business Support),optimum,,,english,intermediate
159,Semmelweis Egyetem Emberierőforrás-gazdálkodási Főigazgatóság,website,"IT Operation, Telecommunication","Corporate Management System, SAP",full time,1-3 years,"Pest_county,_Budapest",SAP HR rendszertámogató munkatárs,optimum,,,none,none
160,ESAB Kft.,website,"Finance, Accounting","Analyst, Advisor",full time,3-5 years,Pest_county,Senior Transfer Pricing Analyst,optimum,,,none,none
161,ALAG - FOOD Kft,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,1-3 years,Országos,Tehergépjármű vezető,start_prem,621212.0,1541.4689826302729,none,none
162,Erzsébet Park Kft.,website,"Administration, Assistance, Office Work",Receptionist,full time,1-3 years,"Pest_county,_Budapest",Recepciós / Éjszakai recepciós,optimum,572727.0,1421.1588089330025,english,intermediate
163,ETELE HAIR Kft.,website,Skilled Labour,"Hairdresser, Beautician",full time,1-3 years,"Pest_county,_Budapest",Fodrász,start_prem,606060.0,1503.8709677419354,none,none
164,ARH Informatikai Zrt.,ats,"Sales, Trade",IT Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Sales Manager,optimum,,,english,nativespeaker
165,MySoft Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Raktáros,optimum,,,none,none
166,ESAB,website,"Client Services, Customer Services",Call Center Services,full time,not required,Pest_county,Order to Cash Specialist – Finnish Speaker,optimum,,,english,intermediate
167,Yettel Hungary Ltd.,karrierlink,"IT Operation, Telecommunication",Telecommunication,full time,3-5 years,"Pest_county,_Törökbálint",Technical Product Owner of Customer Care Services,optimum,,,english,higheradvanced
168,FGSZ Zrt.,website,"Corporate Leadership, Management",Leadership Programmes,full time,starter,Országos,FGSZ FUTURE 1 éves Pályakezdő program,optimum,,,english,intermediate
169,Kerda Kft,website,Skilled Labour,"Storekeeper, Other depository skilled work",full time,1-3 years,"Pest_county,_Budapest",Áruösszekészítő raktáros,start_prem,,,none,none
170,Ceres Pharma Hungary Kft.,website,"Healthcare, Pharmaceutical Industry","Medical, Pharmaceutical Manager",full time,1-3 years,Pest_county,Orvos- / patikalátogató,pro_plus,,,none,none
